date,flight,route,status,verdict,category,csv_airline,csv_class,gmail_status,gmail_cabin,gmail_cost,booking_pnr,email_subject,email_from,email_sent,notes
2015-12-18,UA1928,BOS-EWR,MATCHED,KEEP,,United,Recliner First,scheduled,recliner_first,42.9 USD + 160000 united_mileageplus,O9VV39,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1503db37ca0452e0"",""Fwd: MileagePlus eTicket Itinerary and Receipt for Confirmation O9VV39"")",pguo8888@yahoo.com,2015-10-06,
2015-12-18,UA89,EWR-PEK,MATCHED,KEEP,,United,Economy,scheduled,economy,42.9 USD + 160000 united_mileageplus,O9VV39,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1503db37ca0452e0"",""Fwd: MileagePlus eTicket Itinerary and Receipt for Confirmation O9VV39"")",pguo8888@yahoo.com,2015-10-06,
2015-12-20,HU7179,PEK-SYX,CSV_ONLY,KEEP,NO_EMAIL,Hainan,Economy,,,,,,,,"NO EMAIL: Hainan Sanya, none found. CSV sole source."
2015-12-24,HU7080,SYX-PEK,CSV_ONLY,KEEP,NO_EMAIL,Hainan,Economy,,,,,,,,"NO EMAIL: Hainan Sanya, none found. CSV sole source."
2016-01-02,UA808,PEK-IAD,MATCHED,KEEP,,United,Economy,scheduled,economy,42.9 USD + 160000 united_mileageplus,O9VV39,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1503db37ca0452e0"",""Fwd: MileagePlus eTicket Itinerary and Receipt for Confirmation O9VV39"")",pguo8888@yahoo.com,2015-10-06,
2016-01-02,UA352,IAD-BOS,MATCHED,KEEP,,United,Economy,scheduled,economy,42.9 USD + 160000 united_mileageplus,O9VV39,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1503db37ca0452e0"",""Fwd: MileagePlus eTicket Itinerary and Receipt for Confirmation O9VV39"")",pguo8888@yahoo.com,2015-10-06,
2016-03-13,HU482,BOS-PEK,MATCHED,KEEP,,Hainan,Lie-flat Business,scheduled,lie_flat_business,7195.86 USD,NT8KG9,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1525ef67fc9f8f00"",""Booking confirmation"")",no-reply@amadeus.com,2016-01-20,
2016-03-16,HU7215,PEK-KWL,CSV_ONLY,KEEP,TOUR_PACKAGE,Hainan,Economy,,,,,,,,"HAS ITINERARY (tour pkg): Guilin/Chengdu/Dunhuang 9-day group tour, itinerary+pricing from mom (应葵). No airline e-ticket. Borderline recoverable."
2016-03-19,CZ6709,KWL-CTU,CSV_ONLY,KEEP,TOUR_PACKAGE,China Southern,Economy,,,,,,,,HAS ITINERARY (tour pkg): same Guilin/Chengdu/Dunhuang tour (应葵). No airline e-ticket.
2016-03-21,3U8569,CTU-LHW,CSV_ONLY,KEEP,TOUR_PACKAGE,Sichuan,Economy,,,,,,,,HAS ITINERARY (tour pkg): same China group tour (应葵). No airline e-ticket.
2016-03-21,3U8569,LHW-DNH,CSV_ONLY,KEEP,TOUR_PACKAGE,Sichuan,Economy,,,,,,,,HAS ITINERARY (tour pkg): same China group tour (应葵). No airline e-ticket.
2016-03-24,MU2117,DNH-XIY,CSV_ONLY,KEEP,TOUR_PACKAGE,China Eastern,Economy,,,,,,,,HAS ITINERARY (tour pkg): same China group tour (应葵). No airline e-ticket.
2016-03-24,MU2117,XIY-PEK,CSV_ONLY,KEEP,TOUR_PACKAGE,China Eastern,Economy,,,,,,,,HAS ITINERARY (tour pkg): same China group tour (应葵). No airline e-ticket.
2016-03-28,HU481,PEK-BOS,MATCHED,KEEP,,Hainan,Lie-flat Business,scheduled,lie_flat_business,7195.86 USD,NT8KG9,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1525ef67fc9f8f00"",""Booking confirmation"")",no-reply@amadeus.com,2016-01-20,
2016-06-05,HU482,BOS-PEK,MATCHED,KEEP,,Hainan,Economy,scheduled,economy,2056.9 USD,MD1V3P,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1549ad74192068fb"",""Booking confirmation"")",no-reply@amadeus.com,2016-05-10,
2016-07-03,UA850,PEK-ORD,MATCHED,KEEP,,United,Economy,scheduled,,36497.0 CNY,,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/154f7566c664985b"",""Fwd: 回复: 过总7月行程"")",PGuo@tenneco.com,2016-05-28,
2016-07-05,UA671,ORD-RDU,MATCHED,KEEP,,United,Economy,scheduled,,36497.0 CNY,,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/154f7566c664985b"",""Fwd: 回复: 过总7月行程"")",PGuo@tenneco.com,2016-05-28,
2016-07-06,AA4611,RDU-PHL,MATCHED,KEEP,,American,Economy,scheduled,,36497.0 CNY,,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/154f7566c664985b"",""Fwd: 回复: 过总7月行程"")",PGuo@tenneco.com,2016-05-28,
2016-07-07,AA709,PHL-SFO,MATCHED,KEEP,,American,Economy,scheduled,,36497.0 CNY,,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/154f7566c664985b"",""Fwd: 回复: 过总7月行程"")",PGuo@tenneco.com,2016-05-28,
2016-07-10,UA768,SFO-BOS,MATCHED,KEEP,,United,Economy,scheduled,,36497.0 CNY,,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/154f7566c664985b"",""Fwd: 回复: 过总7月行程"")",PGuo@tenneco.com,2016-05-28,
2016-07-12,UA1564,BOS-ORD,GMAIL_ONLY,DELETE,OTHER_PEOPLE,,,scheduled,,36497.0 CNY,,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/154f7566c664985b"",""Fwd: 回复: 过总7月行程"")",PGuo@tenneco.com,2016-05-28,"NOT YOURS: dad's (GUO/PENG) leg on Homsom agent itinerary. Cost attached was family total RMB169,803. | agent itinerary: UA1564/UA851=dad, HU482=mom. Your own legs end at SFO-BOS. Cost was the FAMILY total RMB169,803"
2016-07-14,UA851,ORD-PEK,GMAIL_ONLY,DELETE,OTHER_PEOPLE,,,scheduled,,36497.0 CNY,,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/154f7566c664985b"",""Fwd: 回复: 过总7月行程"")",PGuo@tenneco.com,2016-05-28,"NOT YOURS: dad's (GUO/PENG) return on agent itinerary. Your legs ended SFO-BOS 7/10. | agent itinerary: UA1564/UA851=dad, HU482=mom. Your own legs end at SFO-BOS. Cost was the FAMILY total RMB169,803"
2016-09-08,HU482,BOS-PEK,GMAIL_ONLY,DELETE,OTHER_PEOPLE,,,scheduled,,36497.0 CNY,,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/154f7566c664985b"",""Fwd: 回复: 过总7月行程"")",PGuo@tenneco.com,2016-05-28,"NOT YOURS: mom's (YING/KUI) flight on agent itinerary. | agent itinerary: UA1564/UA851=dad, HU482=mom. Your own legs end at SFO-BOS. Cost was the FAMILY total RMB169,803"
2016-12-15,UA1710,BOS-EWR,MATCHED,KEEP,,United,Recliner First,scheduled,,1288.4 USD,GYKDBV,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/158b1076cd4e9b78"",""eTicket Itinerary and Receipt for Confirmation GYKDBV"")",unitedairlines@united.com,2016-11-29,
2016-12-15,UA89,EWR-PEK,MATCHED,KEEP,,United,Lie-flat Business,scheduled,,1288.4 USD,GYKDBV,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/158b1076cd4e9b78"",""eTicket Itinerary and Receipt for Confirmation GYKDBV"")",unitedairlines@united.com,2016-11-29,
2016-12-23,D7317,PEK-KUL,MATCHED,KEEP,,AirAsia,Lie-flat Business,scheduled,lie_flat_business,,WYTKHR,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1590bfdbaee8493b"",""Alexander Kenny Guo (Booking No: WYTKHR) 23 Dec 2016 Beijing ✈ Kuala Lumpur - Travel Itinerary"")",itinerary@airasia.com,2016-12-17,
2016-12-23,MI341,KUL-SIN,MATCHED,KEEP,,Silkair,Economy,scheduled,economy,945.9 MYR,YORR2X,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1590c31fea2a9ed5"",""Booking confirmation - YORR2X"")",booking@silkair.com,2016-12-17,
2016-12-24,SQ255,SIN-BNE,MATCHED,KEEP,,Singapore,Lie-flat Business,scheduled,lie_flat_business,3597.6 SGD,YPCYZW,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1590c38dde860740"",""Your booking confirmation YPCYZW"")",booking@singaporeair.com.sg,2016-12-17,
2016-12-29,QF551,BNE-SYD,CSV_ONLY,KEEP,RECOVERED,Qantas,Economy,,,,,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15928f566fd77688"",""RE: Sydney Tour"")",carly@splendourtailoredtours.com.au,2016-12-22,"TOUR PKG: Splendour Tailormade 'Sydney Tour' (agent). No airline e-ticket. CSV sole source. | RECOVERED: (no cost), cabin?, PNR - (per-person)."
2017-01-02,UA840,SYD-LAX,MATCHED,KEEP,,United,Lie-flat Business,scheduled,lie_flat_business,85.26 USD + 175000 united_mileageplus,GYGYGH,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/158b1380b26392f8"",""Fwd: MileagePlus eTicket Itinerary and Receipt for Confirmation GYGYGH"")",pguo8888@yahoo.com,2016-11-30,
2017-01-02,UA824,LAX-BOS,MATCHED,KEEP,,United,Recliner First,scheduled,recliner_first,85.26 USD + 175000 united_mileageplus,GYGYGH,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/158b1380b26392f8"",""Fwd: MileagePlus eTicket Itinerary and Receipt for Confirmation GYGYGH"")",pguo8888@yahoo.com,2016-11-30,
2017-03-11,UA1548,BOS-EWR,MATCHED,KEEP,,United,Economy,scheduled,economy,3345.26 USD,PVCXMV,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15a9170bcdac333b"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-03-02,
2017-03-11,UA89,EWR-PEK,MATCHED,KEEP,,United,Economy,scheduled,economy,3345.26 USD,PVCXMV,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15a9170bcdac333b"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-03-02,
2017-03-20,UA88,PEK-EWR,MATCHED,KEEP,,United,Lie-flat Business,scheduled,lie_flat_business,3345.26 USD,PVCXMV,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15a9170bcdac333b"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-03-02,
2017-03-20,UA1775,EWR-BOS,MATCHED,KEEP,,United,Recliner First,scheduled,recliner_first,3345.26 USD,PVCXMV,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15a9170bcdac333b"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-03-02,
2017-04-13,UA1873,BDL-IAD,MATCHED,KEEP,,United,Economy,scheduled,economy,787.6 USD,O9TQMN,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15b2cb1d56f1be0f"",""Your United reservation for Los Angeles, CA, US (LAX) is processing"")",unitedairlines@united.com,2017-04-01,
2017-04-13,UA632,IAD-LAX,MATCHED,KEEP,,United,Economy,scheduled,economy,787.6 USD,O9TQMN,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15b2cb1d56f1be0f"",""Your United reservation for Los Angeles, CA, US (LAX) is processing"")",unitedairlines@united.com,2017-04-01,
2017-04-16,UA314,LAX-DEN,MATCHED,KEEP,,United,Economy,scheduled,economy,787.6 USD,O9TQMN,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15b2cb1d56f1be0f"",""Your United reservation for Los Angeles, CA, US (LAX) is processing"")",unitedairlines@united.com,2017-04-01,
2017-04-16,UA1887,DEN-BDL,MATCHED,KEEP,,United,Economy,scheduled,economy,787.6 USD,O9TQMN,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15b2cb1d56f1be0f"",""Your United reservation for Los Angeles, CA, US (LAX) is processing"")",unitedairlines@united.com,2017-04-01,
2017-05-31,UA700,BOS-EWR,MATCHED,KEEP,,United,Economy,scheduled,economy,875.4 USD,EJC83B,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15701e3d094e7d4c"",""Fwd: eTicket Itinerary and Receipt for Confirmation EJC83B"")",kuiying2012@gmail.com,2016-09-06,
2017-05-31,UA89,EWR-PEK,MATCHED,KEEP,,United,Economy,scheduled,economy,875.4 USD,EJC83B,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15701e3d094e7d4c"",""Fwd: eTicket Itinerary and Receipt for Confirmation EJC83B"")",kuiying2012@gmail.com,2016-09-06,
2017-06-08,CZ6974,SHA-URC,CSV_ONLY,KEEP,NO_EMAIL_FOUND,China Southern,Economy,,,,,,,,HAS EMAIL (recoverable): Tongcheng (同程/ly.com) e-ticket '电子客票行程单英文版' May 30 2017. Missed: Chinese OTA/PDF. | Thorough sender+date search found no booking email containing this flight (original 'recoverable' tag was a false match).
2017-06-09,CZ6613,URC-KJI,CSV_ONLY,KEEP,NO_EMAIL_FOUND,China Southern,Economy,,,,,,,,HAS EMAIL (recoverable): Tongcheng (同程) e-ticket May 30 2017. Missed: Chinese OTA/PDF. | Thorough sender+date search found no booking email containing this flight (original 'recoverable' tag was a false match).
2017-06-10,CZ6620,KJI-URC,CSV_ONLY,KEEP,NO_EMAIL_FOUND,China Southern,Economy,,,,,,,,HAS EMAIL (recoverable): Tongcheng (同程) e-ticket May 30 2017. Missed: Chinese OTA/PDF. | Thorough sender+date search found no booking email containing this flight (original 'recoverable' tag was a false match).
2017-06-15,CZ6911,URC-PEK,CSV_ONLY,KEEP,NO_EMAIL_FOUND,China Southern,Economy,,,,,,,,HAS EMAIL (recoverable): Tongcheng (同程) e-ticket May 30 2017. Missed: Chinese OTA/PDF. | Thorough sender+date search found no booking email containing this flight (original 'recoverable' tag was a false match).
2017-06-24,CZ317,PEK-GMP,MATCHED,KEEP,,China Southern,Economy,scheduled,economy,1757.0,KGR809,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15c56d18ea1800e6"",""电子客票行程单英文版"")",support@ly.com,2017-05-30,
2017-06-28,CZ318,GMP-PEK,MATCHED,KEEP,,China Southern,Economy,scheduled,economy,1757.0,KGR809,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15c56d18ea1800e6"",""电子客票行程单英文版"")",support@ly.com,2017-05-30,
2017-07-17,HU7609,PEK-PVG,MATCHED,KEEP,,Hainan,Economy,scheduled,economy,1280.0 CNY,4243609648,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15d450f41bab2a91"",""FW: 机票确认单"")",jina_oh@naver.com,2017-07-15,
2017-07-19,HU7610,PVG-PEK,MATCHED,KEEP,,Hainan,Economy,scheduled,economy,560.0 CNY,4243609658,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15d450f99ff04c9e"",""FW: 机票确认单"")",jina_oh@naver.com,2017-07-15,
2017-07-24,MU2949,PEK-WUX,CSV_ONLY,KEEP,NO_EMAIL_FOUND,China Eastern,Economy,,,,,,,,HAS EMAIL (recoverable): eTicket M843QF forwarded by mom (kuiying2012) Jul 27 2017. Missed: family forward. | Thorough sender+date search found no booking email containing this flight (original 'recoverable' tag was a false match).
2017-07-25,MU2950,WUX-PEK,CSV_ONLY,KEEP,NO_EMAIL_FOUND,China Eastern,Economy,,,,,,,,"HAS EMAIL (recoverable): eTicket M843QF (mom forward, Jul 2017). Missed: family forward. | Thorough sender+date search found no booking email containing this flight (original 'recoverable' tag was a false match)."
2017-08-12,UA88,PEK-EWR,MATCHED,KEEP,,United,Economy,scheduled,economy,1351.16 USD,M843QF,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15d825d98b71c8f5"",""Fwd: Your United reservation for Boston, MA, US (BOS) is processing"")",kuiying2012@gmail.com,2017-07-27,
2017-08-12,UA276,EWR-BOS,MATCHED,KEEP,,United,Economy,scheduled,economy,1351.16 USD,M843QF,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15d825d98b71c8f5"",""Fwd: Your United reservation for Boston, MA, US (BOS) is processing"")",kuiying2012@gmail.com,2017-07-27,
2017-09-22,UA700,BOS-EWR,GMAIL_ONLY,DELETE,NEVER_TICKETED,,,scheduled,economy,101.35 USD + 105000 united_mileageplus,FDQSBG,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15e9345990ec29a7"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-09-17,"FareLock HOLD (FDQSBG), never ticketed. Flew this PEK routing in OCT instead (in CSV). 'FareLock Expiration' Sep 21. | FareLock HOLD (FDQSBG) ""being held until... to purchase"" — never ticketed. The PEK round trip you flagged as cancelled"
2017-09-22,UA89,EWR-PEK,GMAIL_ONLY,DELETE,NEVER_TICKETED,,,scheduled,economy,101.35 USD + 105000 united_mileageplus,FDQSBG,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15e9345990ec29a7"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-09-17,"FareLock HOLD (FDQSBG), never ticketed. Flew UA89 EWR-PEK Oct 7 instead (in CSV). | FareLock HOLD (FDQSBG) ""being held until... to purchase"" — never ticketed. The PEK round trip you flagged as cancelled"
2017-09-22,UA389,BOS-IAD,MATCHED,KEEP,,United,Economy,scheduled,economy,55.6 USD + 10000 united_mileageplus,HHYVL2,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15e9dee5c1878a45"",""Your United reservation for Philadelphia, PA, US (PHL) is processing"")",unitedairlines@united.com,2017-09-20,
2017-09-22,UA6071,IAD-PHL,MATCHED,KEEP,,United,Economy,scheduled,economy,55.6 USD + 10000 united_mileageplus,HHYVL2,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15e9dee5c1878a45"",""Your United reservation for Philadelphia, PA, US (PHL) is processing"")",unitedairlines@united.com,2017-09-20,
2017-09-24,UA808,PEK-IAD,GMAIL_ONLY,DELETE,NEVER_TICKETED,,,scheduled,lie_flat_business,101.35 USD + 105000 united_mileageplus,FDQSBG,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15e9345990ec29a7"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-09-17,"FareLock HOLD (FDQSBG), never ticketed. Flew UA808 PEK-IAD Oct 10 instead (in CSV). | FareLock HOLD (FDQSBG) ""being held until... to purchase"" — never ticketed. The PEK round trip you flagged as cancelled"
2017-09-24,UA1922,EWR-BOS,MATCHED,KEEP,,United,Economy,scheduled,economy,193.2 USD,HHX7F2,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15e9df0f96104ba3"",""Expedia travel confirmation - Sep 24 - (Itinerary # 7297202985202)"")",Expedia@expediamail.com,2017-09-20,
2017-09-25,UA352,IAD-BOS,GMAIL_ONLY,DELETE,NEVER_TICKETED,,,scheduled,economy,101.35 USD + 105000 united_mileageplus,FDQSBG,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15e9345990ec29a7"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-09-17,"FareLock HOLD (FDQSBG), never ticketed. Flew UA352 IAD-BOS Oct 10/11 instead (in CSV). | FareLock HOLD (FDQSBG) ""being held until... to purchase"" — never ticketed. The PEK round trip you flagged as cancelled"
2017-10-07,UA1001,BOS-EWR,MATCHED,KEEP,,United,Economy,scheduled,economy,91.16 USD + 115000 united_mileageplus,DGVMEG,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15ed5bc77c6c6d6a"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-09-30,
2017-10-07,UA89,EWR-PEK,MATCHED,KEEP,,United,Economy,scheduled,economy,91.16 USD + 115000 united_mileageplus,DGVMEG,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15ed5bc77c6c6d6a"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-09-30,
2017-10-10,UA808,PEK-IAD,MATCHED,KEEP,,United,Economy,scheduled,economy,91.16 USD + 115000 united_mileageplus,DGVMEG,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15ed5bc77c6c6d6a"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-09-30,
2017-10-10,UA352,IAD-BOS,MATCHED,KEEP,,United,Economy,scheduled,economy,91.16 USD + 115000 united_mileageplus,DGVMEG,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15ed5bc77c6c6d6a"",""Your United reservation for Beijing, CN (PEK - Capital) is processing"")",unitedairlines@united.com,2017-09-30,
2017-11-12,AA555,BOS-PHL,MATCHED,KEEP,,American,Economy,scheduled,economy,209.69 USD,"LTSOXS,HIFOSU","=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15f4cf2efba2725e"",""Your priceline itinerary for Philadelphia, PA- Sunday, November 12, 2017 (Itinerary# 137-469-932-89)"")",ItineraryAir@trans.priceline.com,2017-10-24,
2017-11-13,DL3854,PHL-JFK,MATCHED,KEEP,,Delta,Economy,scheduled,economy,209.69 USD,"LTSOXS,HIFOSU","=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15f4cf2efba2725e"",""Your priceline itinerary for Philadelphia, PA- Sunday, November 12, 2017 (Itinerary# 137-469-932-89)"")",ItineraryAir@trans.priceline.com,2017-10-24,
2017-11-13,DL4010,JFK-BOS,MATCHED,KEEP,,Delta,Economy,scheduled,economy,209.69 USD,"LTSOXS,HIFOSU","=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15f4cf2efba2725e"",""Your priceline itinerary for Philadelphia, PA- Sunday, November 12, 2017 (Itinerary# 137-469-932-89)"")",ItineraryAir@trans.priceline.com,2017-10-24,
2017-11-22,DL753,BOS-DTW,CSV_ONLY,KEEP,NO_EMAIL,Delta,Economy,,,,,,,,NO booking email (only Delta check-in/marketing). CSV sole source.
2017-11-26,DL1145,DTW-BOS,CSV_ONLY,KEEP,NO_EMAIL,Delta,Economy,,,,,,,,NO booking email (only Delta check-in). CSV sole source.
2017-12-19,UA2047,BOS-EWR,MATCHED,KEEP,,United,Recliner First,scheduled,economy,81.2 USD,GKNL80,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15f70c90995492e0"",""Your United reservation for New York/Newark, NJ, US (EWR - Liberty) is processing"")",unitedairlines@united.com,2017-10-30,
2017-12-20,DL438,JFK-CUN,GMAIL_ONLY,DELETE,NEVER_TICKETED,,,scheduled,economy,181.0 USD,,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15f70665a3762e8a"",""Fwd: Your itinerary from Google Flights"")",alexanderguo99@gmail.com,2017-10-30,"Google Flights price quote you emailed yourself; never booked. Cancun trip cancelled (Expedia hotel/activity cancellations Nov 14 2017). | Google Flights price quote you emailed yourself (""sent to yourself while searching"") — never booked"
2017-12-20,UA89,EWR-PEK,MATCHED,KEEP,,United,Lie-flat Business,scheduled,lie_flat_business,,JZQ5E4,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/1606fd429baa5d34"",""Check in now for your flight to Beijing, CN (PEK - Capital).  Confirmation JZQ5E4"")",unitedairlines@united.com,2017-12-19,
2017-12-22,DL789,CUN-JFK,GMAIL_ONLY,DELETE,NEVER_TICKETED,,,scheduled,economy,181.0 USD,,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/15f70665a3762e8a"",""Fwd: Your itinerary from Google Flights"")",alexanderguo99@gmail.com,2017-10-30,"Google Flights price quote; never booked. Cancun trip cancelled. | Google Flights price quote you emailed yourself (""sent to yourself while searching"") — never booked"
2017-12-30,SQ807,PEK-SIN,CSV_ONLY,KEEP,NO_EMAIL,Singapore,Lie-flat Business,,,,,,,,"NO EMAIL: Singapore Airlines PEK-SIN, none found. CSV sole source."
2018-01-07,UA2,SIN-SFO,MATCHED,KEEP,,United,Lie-flat Business,scheduled,lie_flat_business,,JZRTDW,"=HYPERLINK(""https://mail.google.com/mail/u/0/#all/160c9ff5b3f3d04f"",""Check in now for your flight to Boston, MA, US (BOS).  Confirmation JZRTDW"")",unitedairlines@united.com,2018-01-05,
