Date,Scheduled Dep Time (Local),Scheduled Arr Time (Local),Airline,Flight,Dep Airport,Arr Airport,Class,Aircraft,Registration
2022-04-12,00:00,00:00,UA,UA2341,SFO,LAS,,,
2022-04-13,00:00,00:00,UA,UA1728,LAS,SFO,,,
2022-05-18,00:00,00:00,UA,UA1723,SFO,KOA,,,
2022-05-23,00:00,00:00,UA,UA1724,KOA,SFO,,,
2022-07-06,00:00,00:00,UA,UA520,SFO,JFK,,,
2022-07-10,00:00,00:00,UA,UA496,EWR,SFO,,,
2022-07-29,00:00,00:00,UA,UA1449,SFO,EWR,,,
2022-08-02,00:00,00:00,UA,UA1257,EWR,SFO,,,
2022-10-07,00:00,00:00,AS,AS3431,SJC,PSP,,,
2022-10-10,00:00,00:00,AS,AS3428,PSP,SJC,,,
2022-12-06,00:00,00:00,NZ,NZ7,SFO,AKL,,,
2022-12-18,00:00,00:00,NZ,NZ527,AKL,CHC,,,
2022-12-24,00:00,00:00,NZ,NZ1266,ZQN,AKL,,,
2023-01-05,00:00,00:00,NZ,NZ8,AKL,SFO,,,
2023-02-04,00:00,00:00,AS,AS2011,SFO,PHX,,,
2023-02-05,00:00,00:00,UA,UA1893,PHX,SFO,,,
2023-03-02,00:00,00:00,UA,UA2059,SFO,EWR,,,
2023-03-03,00:00,00:00,UA,UA1065,EWR,MEX,,,
2023-03-06,00:00,00:00,Y4,Y45200,MEX,OAK,,,
2023-03-24,00:00,00:00,UA,UA1200,SFO,LAX,,,
2023-03-25,00:00,00:00,UA,UA923,LAX,LHR,,,
2023-03-29,00:00,00:00,UA,UA921,LHR,EWR,,,
2023-03-31,00:00,00:00,UA,UA1989,EWR,SEA,,,
2023-04-01,00:00,00:00,AS,AS1042,SEA,SFO,,,
2023-04-05,00:00,00:00,DL,DL3879,OAK,SLC,,,
2023-04-09,00:00,00:00,DL,DL2924,SLC,OAK,,,
2023-04-22,00:00,00:00,UA,UA2237,SFO,AUS,,,
2023-04-25,00:00,00:00,UA,UA1401,AUS,SFO,,,
2023-05-11,00:00,00:00,UA,UA805,SFO,ICN,,,
2023-05-14,00:00,00:00,OZ,OZ335,ICN,PEK,,,
2023-05-15,00:00,00:00,OZ,OZ335,ICN,PEK,,,
2023-05-26,00:00,00:00,CA,CA1431,PEK,CKG,,,
2023-06-27,00:00,00:00,CA,CA8680,PKX,PVG,,,
2023-07-02,00:00,00:00,CA,CA1502,SHA,PEK,,,
2023-07-09,00:00,00:00,ZH,ZH9236,XNN,SZX,,,
2023-07-10,00:00,00:00,CX,CX111,HKG,SYD,,,
2023-08-12,00:00,00:00,UA,UA870,SYD,SFO,,,
2023-09-18,00:00,00:00,AF,AF85,SFO,CDG,,,
2023-12-13,00:00,00:00,FR,FR1374,STN,PRG,,,
2023-12-16,00:00,00:00,LO,LO526,PRG,WAW,,,
2023-12-17,00:00,00:00,LO,LO91,WAW,PEK,,,
2024-01-04,00:00,00:00,TK,TK89,PEK,IST,,,
2024-01-04,00:00,00:00,TK,TK1979,IST,LHR,,,
2024-03-13,00:00,00:00,FR,FR176,STN,BER,,,
2024-03-18,00:00,00:00,FR,FR144,BER,STN,,,
2024-06-26,00:00,00:00,UA,UA939,LHR,SFO,,,
2024-06-28,00:00,00:00,HA,HA47,OAK,HNL,,,
2024-07-01,00:00,00:00,HA,HA343,HNL,LIH,,,
2024-07-03,00:00,00:00,UA,UA1746,LIH,SFO,,,
2024-07-10,00:00,00:00,UA,UA930,SFO,LHR,,,
2024-12-17,00:00,00:00,U2,U28313,LGW,MXP,,,
2024-12-19,00:00,00:00,CA,CA950,MXP,PEK,,,
2024-12-30,00:00,00:00,A6,A67778,PKX,CSX,,,
2025-01-05,00:00,00:00,CX,CX500,HKG,NRT,,,
2025-01-09,00:00,00:00,CA,CA184,HND,PEK,,,
2025-01-09,00:00,00:00,CA,CA937,PEK,LHR,,,
2025-02-20,00:00,00:00,U2,U27858,SEN,AMS,,,
2025-02-23,00:00,00:00,BA,BA8456,AMS,LCY,,,
2025-03-20,00:00,00:00,W4,W46902,LGW,NAP,,,
2025-03-25,00:00,00:00,FR,FR1833,NAP,STN,,,
2025-04-09,00:00,00:00,RK,RK8528,STN,OZZ,,,
2025-04-15,00:00,00:00,FR,FR961,AGA,TFS,,,
2025-04-16,00:00,00:00,UA,UA249,TFS,EWR,,,
2025-04-27,00:00,00:00,VS,VS158,BOS,LHR,,,
2025-05-30,00:00,00:00,BA,BA754,LHR,BSL,,,
2025-06-03,00:00,00:00,U2,U28484,BSL,LGW,,,
2025-08-13,00:00,00:00,VY,VY6617,LGW,AGP,,,
2025-08-16,00:00,00:00,W9,W95724,AGP,LGW,,,
2025-11-07,00:00,00:00,FR,FR6325,STN,VLC,,,
2025-11-10,00:00,00:00,FR,FR6324,VLC,STN,,,
2025-12-12,00:00,00:00,BA,BA3270,LCY,MAD,,,
2025-12-13,00:00,00:00,CA,CA898,MAD,PEK,,,
2025-12-25,00:00,00:00,CZ,CZ3104,PKX,CAN,,,
2025-12-25,00:00,00:00,CZ,CZ325,CAN,SYD,,,
2026-01-01,00:00,00:00,VA,VA884,SYD,MEL,,,
2026-01-04,00:00,00:00,JQ,JQ534,MEL,SYD,,,
2026-01-06,00:00,00:00,VN,VN772,SYD,SGN,,,
2026-01-06,00:00,00:00,VN,VN220,SGN,HAN,,,
2026-01-07,00:00,00:00,VN,VN55,HAN,LHR,,,
2026-03-05,00:00,00:00,FR,FR9142,STN,FAO,,,
2026-03-10,00:00,00:00,U2,U28534,FAO,LGW,,,
2026-04-02,00:00,00:00,FR,FR168,STN,TRS,,,
2026-04-07,00:00,00:00,FR,FR169,TRS,STN,,,
2026-04-28,00:00,00:00,VS,VS11,LHR,BOS,,,
2026-05-09,00:00,00:00,VS,VS46,JFK,LHR,,,
2026-09-11,22:05,16:10,JD,JD432,LHR,TAO,,,
2026-09-28,17:55,21:35,9C,9C7205,PKX,CJU,,,
2026-10-02,19:40,00:45,TW,TW165,CJU,SIN,,,
2026-10-04,09:00,15:45,SQ,SQ308,SIN,LHR,,,
